"","h_co","ss","level","dist","alpha_mean","alpha_sd","alpha_range","beta_mean","beta_sd","beta_range","log_mean","log_sd","aic_mean","pneu_mean","pneu_sd","plet_mean","plet_sd"
"58","0.5","100","0.01","gammalet",0.191842689582763,0.00944051600129706,0.045667156414708,437.807661439309,191.084800694961,682.865830314112,-396.126596236022,5.43087013068112,798.253192472045,NA,NA,0.0862718442885747,0.0579540395398903
"59","0.5","100","0.01","neugamma",0.210200800858573,0.0170338669069854,0.071908346976004,668.176521015751,120.278583917006,560.059957282164,-397.392331958198,6.80817755432347,800.784663916397,0.0525254615082016,0.0242149568811968,NA,NA
"60","0.5","100","0.01","gamma",0.183697406251037,0.0051166045201594,0.023004963599749,792.161619445831,103.691571680109,468.647343018306,-397.108294884328,6.41731520718209,798.216589768657,NA,NA,NA,NA
"61","0","100","0.01","neugammalet",0.218983653078024,0.0311817468141976,0.135782045410315,486.166727683129,161.09111169235,576.541237387103,-398.918859948581,6.05582442541582,805.837719897161,0.0495073677638471,0.0430475774197828,0.0376988966084086,0.0618392809227724
"62","0","100","0.01","gammalet",0.194695213400721,0.00625684841193929,0.030015178646093,405.937612120117,159.756027581645,581.268486469145,-396.845454854845,5.46702319014996,799.69090970969,NA,NA,0.0814873911243905,0.0479360427153793
"63","0","100","0.01","neugamma",0.215137347836155,0.0215548974525122,0.072844193742857,611.883526281539,115.976978068564,427.981780585836,-397.874343520389,5.37181757288672,801.748687040779,0.0524781415782295,0.0290207906247309,NA,NA
"64","0","100","0.01","gamma",0.187425567432998,0.00524457052428631,0.019016261923764,722.373232552059,89.3570353134069,280.860686945846,-397.391888875161,5.5306647746514,798.783777750322,NA,NA,NA,NA
"65","0.5","10","0.01","neugammalet",0.282149891331963,0.0923712085649163,0.383974240447181,418.53839894454,196.708586767788,675.798662216008,-5000048.97576859,22360668.247299,10000105.9515372,0.119959330236539,0.0705199014278619,0.0311590785961623,0.0464690019636456
"66","0.5","10","0.01","gammalet",0.189045963107531,0.012442990325132,0.040747407518033,302.108574686403,234.789653305507,922.420088297456,-49.7250742813069,2.64791756019918,105.450148562614,NA,NA,0.193810037173086,0.106042860372104
"67","0.5","10","0.01","neugamma",0.250624076688836,0.0447643052114097,0.167618156941055,596.51064867777,323.694790091252,1305.16544997426,-49.1495625675929,2.13180321790634,104.299125135186,0.10014474947946,0.0439676442591921,NA,NA
"68","0.5","10","0.01","gamma",0.179382559939397,0.00986215844914191,0.037423216192479,1009.28793869666,314.771865827912,1290.86577312816,-49.2778096002033,2.17493189795166,102.555619200407,NA,NA,NA,NA
"69","0","10","0.01","neugammalet",0.332919085271692,0.184138985486784,0.795097055704315,291.032753887439,265.261566966802,1006.18908003778,-53.5216212539149,13.0939496532665,115.04324250783,0.120720627037806,0.0838174051949459,0.138515194249269,0.178369075183786
"70","0","10","0.01","gammalet",0.193827062314198,0.0251338322079163,0.096817471884792,995.342314082063,2695.79172329382,12344.8269708768,-109.784513744576,270.970939778648,225.569027489152,NA,NA,0.168258041483523,0.127366345267663
"71","0","10","0.01","neugamma",0.272364803599563,0.0495390704083922,0.175680043879062,508.474285606287,252.201145018407,875.60768963781,-49.7115822923761,2.31976823464967,105.423164584752,0.119000381247983,0.0378083818465595,NA,NA
"72","0","10","0.01","gamma",0.181100165228339,0.0133268491791479,0.049068499862068,1028.33289010162,457.980423255998,1717.62373430112,-49.4002916112048,2.19952402517231,102.80058322241,NA,NA,NA,NA
"73","0.5","1000","0","neugammalet",0.216269129054552,0.0207330683074083,0.080637987750543,523.513080020974,114.429773601738,450.187490974854,-2819.7432172684,19.809544074415,5647.4864345368,0.0557261994632178,0.0316926937524574,0.0201558760380414,0.0213343418983372
"74","0.5","1000","0","gammalet",0.188537773061792,0.00517921949681481,0.017768070661213,589.84083584512,114.583770481304,398.047109584674,-2819.09657790876,19.4825149882455,5644.19315581751,NA,NA,0.021470438187227,0.0212143741522524
"75","0.5","1000","0","neugamma",0.209706604040558,0.0210659207334653,0.082519404030853,619.11951497769,77.6873475777727,280.246085884033,-2822.55470689588,21.5691231030874,5651.10941379175,0.0490434630661355,0.0342505263858669,NA,NA
"76","0.5","1000","0","gamma",0.185704162532076,0.00383801240480021,0.013397490205455,702.050758220758,54.0133287567066,180.417169644468,-2822.41832231777,21.3885072375689,5648.83664463554,NA,NA,NA,NA
"77","0","1000","0","neugammalet",0.208680999263805,0.0149742750455337,0.064874369741545,569.174818809216,80.6201016757452,322.664854668245,-2811.50344586299,27.9432167001106,5631.00689172599,0.0454152336633259,0.0277340114660981,0.0111801041719283,0.0124255919850624
"78","0","1000","0","gammalet",0.188237181050949,0.00393380259979409,0.013324953996725,597.445862158322,70.9644117239764,260.066702686945,-2809.97087406213,27.9340056767834,5625.94174812426,NA,NA,0.0179657231490325,0.0145982965977461
"79","0","1000","0","neugamma",0.200356340997785,0.00912033258448959,0.03829636324772,643.483115622136,68.8302559658474,249.814367329222,-2812.32661915523,28.037599111295,5630.65323831047,0.0326016494378202,0.0191407915455079,NA,NA
"80","0","1000","0","gamma",0.185986682549478,0.00371008210287822,0.01339257447629,696.059749804632,57.2303972732004,200.885634385181,-2811.69663413691,28.1686000878851,5627.39326827381,NA,NA,NA,NA
"81","0.5","100","0","neugammalet",0.228199046056652,0.0416675864518822,0.182118539976438,493.741170817497,176.536072062104,598.768395790472,-397.018009449068,7.21695937653975,802.036018898137,0.0701788755785363,0.0504123357614202,0.0281346403202903,0.0346101379769675
"82","0.5","100","0","gammalet",0.191663635368613,0.00791264621880315,0.028777801505943,413.192429572011,167.328506975848,591.047883552153,-395.141214111877,7.12220765096646,796.282428223754,NA,NA,0.080981693148071,0.0569117456903091
"83","0.5","100","0","neugamma",0.216984273929096,0.0290724375740169,0.104370392074257,596.922889473589,122.632663061408,450.781829055428,-396.402113187659,6.83237760379003,798.804226375317,0.0597678346044174,0.043981584233277,NA,NA
"84","0.5","100","0","gamma",0.184125547425089,0.00608889896174542,0.023688644909901,732.454919624416,112.762034675707,459.63672522683,-396.2627341744,6.82447298492461,796.5254683488,NA,NA,NA,NA
"85","0","100","0","neugammalet",0.216914516994601,0.0210492371482841,0.087387769511647,394.02024766129,170.056012494618,562.422899060484,-400.764624431925,10.6399701628467,809.52924886385,0.0470326544068799,0.03313592972912,0.0695858180907711,0.0762337845897324
"86","0","100","0","gammalet",0.19465290129407,0.00889496266785166,0.030787668880308,368.259883955652,163.891591016674,570.414382413636,-397.936346514834,8.03098225609295,801.872693029669,NA,NA,0.0917799815933687,0.0475364618664195
"87","0","100","0","neugamma",0.213742905613326,0.0125300696272715,0.041282269253396,593.84422275552,95.7886315798811,323.2439793246,-400.321645318631,9.24977106290584,806.643290637262,0.0555487162866601,0.0198190036369734,NA,NA
"88","0","100","0","gamma",0.185983753091862,0.00708042942920316,0.022605627000611,712.492478602071,109.434957617535,354.383324736608,-399.364346251927,9.04138826902355,802.728692503853,NA,NA,NA,NA
"89","0.5","10","0","neugammalet",0.309081071539638,0.177782283367797,0.808736986456534,333.658373915841,240.211231296417,1013.96515161464,-50.2655097730044,4.21875379831471,108.531019546009,0.107456638602144,0.0760616461760841,0.089052397052697,0.138592256944886
"90","0.5","10","0","gammalet",0.197224064764159,0.0212352599000292,0.079574067734635,739.065625666612,2250.2616002094,10219.3225485658,-101.026854357395,229.401797644122,208.053708714789,NA,NA,0.20886368894923,0.135778445138293
"91","0.5","10","0","neugamma",0.260152214025271,0.0433708845023064,0.14134106858286,497.144846122842,267.860219365425,895.29180079619,-49.2935764042976,2.44490566105595,104.587152808595,0.107511974998996,0.0308773840805826,NA,NA
"92","0.5","10","0","gamma",0.183574347197348,0.0148237959728156,0.050589299579372,881.199830514602,421.270108894963,1449.49788405433,-49.2041180208053,2.4258291674077,102.408236041611,NA,NA,NA,NA
"93","0","10","0","neugammalet",0.304922923809919,0.17260633575572,0.788973626931481,312.392889088544,192.13661506334,732.426569633731,-54.9279665919139,17.0148089477545,117.855933183828,0.109142993770469,0.0784150926642698,0.087860296521777,0.150472912832278
"94","0","10","0","gammalet",0.1985085982319,0.0135696070639975,0.056198430432291,262.318445573069,186.995098804774,649.404628290844,-49.3792366594712,1.66210584640838,104.758473318942,NA,NA,0.172870527940631,0.123578378286429
"95","0","10","0","neugamma",0.265665036265866,0.0522934276110524,0.170190745141793,462.199401624979,227.30530475821,814.871575313995,-49.4375390333305,1.76748895804051,104.875078066661,0.104459892704598,0.0447285312318504,NA,NA
"96","0","10","0","gamma",0.186922492018755,0.0138763818172052,0.049266389458897,796.639500655433,329.992407459934,1374.55217041086,-49.2851346810508,1.65339452358454,102.570269362102,NA,NA,NA,NA
