"","Likelihood","pneu","plet","alpha","beta","Nanc","nu","T","scale","level","ss","h_co","fit","rep"
"57",-3755.08449058315,0,0.42,0.296438493763457,17.1893781379018,9809.05832824492,1.76884507276523,0.000101095901345662,"na","0.10","1000","0.5","0.42",8
"58",-3554.07718858857,0,0.4,0.283559523117156,22.3069634564584,9809.05832824492,1.76884507276523,0.000101095901345662,"na","0.10","1000","0.5","0.4",8
"59",-3386.57185696993,0,0.38,0.272747672465546,28.6237255288353,9809.05832824492,1.76884507276523,0.000101095901345662,"na","0.10","1000","0.5","0.38",8
"60",-3248.14086419994,0,0.36,0.262663850471438,36.7034280175192,9809.05832824492,1.76884507276523,0.000101095901345662,"na","0.10","1000","0.5","0.36",8
"61",-3134.82594463102,0,0.34,0.253677057135628,46.837463011636,9809.05832824492,1.76884507276523,0.000101095901345662,"na","0.10","1000","0.5","0.34",8
"62",-3043.08324873594,0,0.32,0.246049319585951,59.2203462843695,9809.05832824492,1.76884507276523,0.000101095901345662,"na","0.10","1000","0.5","0.32",8
"63",-2969.75997195282,0,0.3,0.238656600701511,74.8389899899701,9809.05832824492,1.76884507276523,0.000101095901345662,"na","0.10","1000","0.5","0.3",8
"64",-2912.0226498341,0,0.28,0.232104802804737,94.0756948977648,9809.05832824492,1.76884507276523,0.000101095901345662,"na","0.10","1000","0.5","0.28",8
"65",-2867.3620588485,0,0.26,0.226064786493676,117.883899175432,9809.05832824492,1.76884507276523,0.000101095901345662,"na","0.10","1000","0.5","0.26",8
"66",-2833.55458176091,0,0.24,0.220470820401369,147.287423257596,9809.05832824492,1.76884507276523,0.000101095901345662,"na","0.10","1000","0.5","0.24",8
"67",-2808.63828848043,0,0.22,0.215450651427527,183.025139393232,9809.05832824492,1.76884507276523,0.000101095901345662,"na","0.10","1000","0.5","0.22",8
"68",-2790.90425270188,0,0.2,0.210455258647493,227.952416481339,9809.05832824492,1.76884507276523,0.000101095901345662,"na","0.10","1000","0.5","0.2",8
"69",-2778.84726393908,0,0.18,0.205726074799353,283.598401923083,9809.05832824492,1.76884507276523,0.000101095901345662,"na","0.10","1000","0.5","0.18",8
"70",-2771.23438454982,0,0.16,0.20140659022878,351.129497415394,9809.05832824492,1.76884507276523,0.000101095901345662,"na","0.10","1000","0.5","0.16",8
"71",-2767.26086313007,0,0.14,0.197342656135045,434.442851436934,9809.05832824492,1.76884507276523,0.000101095901345662,"na","0.10","1000","0.5","0.14",8
"72",-2766.65615363563,0,0.12,0.193958310906359,531.186098594499,9809.05832824492,1.76884507276523,0.000101095901345662,"na","0.10","1000","0.5","0.12",8
"73",-2769.62343529031,0,0.1,0.191319556434415,640.121885954767,9809.05832824492,1.76884507276523,0.000101095901345662,"na","0.10","1000","0.5","0.1",8
"74",-2776.53970215228,0,0.08,0.189296652395386,760.877382131952,9809.05832824492,1.76884507276523,0.000101095901345662,"na","0.10","1000","0.5","0.08",8
"75",-2787.6534844282,0,0.06,0.187667661445843,895.789544860895,9809.05832824492,1.76884507276523,0.000101095901345662,"na","0.10","1000","0.5","0.06",8
"76",-2802.92106112824,0,0.04,0.18648020365609,1045.95991938988,9809.05832824492,1.76884507276523,0.000101095901345662,"na","0.10","1000","0.5","0.04",8
"77",-2822.00744094597,0,0.02,0.183916452534913,1255.37975436786,9809.05832824492,1.76884507276523,0.000101095901345662,"na","0.10","1000","0.5","0.02",8
"78",-2843.9676469934,0,0,0.180554139569323,1547.76380741507,9809.05832824492,1.76884507276523,0.000101095901345662,"na","0.10","1000","0.5","0.0",8
"79",-5131.85763270108,0,0.5,0.379732362768744,4.6533107378243,9515.40866249213,1.0601588774446,0.394969011023614,"na","0.10","1000","0.5","0.5",7
"80",-4724.11345420625,0,0.48,0.349723494033326,6.41917586059207,9515.40866249213,1.0601588774446,0.394969011023614,"na","0.10","1000","0.5","0.48",7
"81",-4376.25624119669,0,0.46,0.325099510743851,8.75600530395317,9515.40866249213,1.0601588774446,0.394969011023614,"na","0.10","1000","0.5","0.46",7
"82",-4080.67363241798,0,0.44,0.305345282693248,11.7673142302873,9515.40866249213,1.0601588774446,0.394969011023614,"na","0.10","1000","0.5","0.44",7
"83",-3830.6991186547,0,0.42,0.289096797644663,15.6231108743808,9515.40866249213,1.0601588774446,0.394969011023614,"na","0.10","1000","0.5","0.42",7
"84",-3620.45926352728,0,0.4,0.275579812963455,20.5270896059156,9515.40866249213,1.0601588774446,0.394969011023614,"na","0.10","1000","0.5","0.4",7
"85",-3444.75769042505,0,0.38,0.263923222275475,26.7180224751113,9515.40866249213,1.0601588774446,0.394969011023614,"na","0.10","1000","0.5","0.38",7
"86",-3298.97349291963,0,0.36,0.25390134991046,34.5143554459026,9515.40866249213,1.0601588774446,0.394969011023614,"na","0.10","1000","0.5","0.36",7
"87",-3178.99191837275,0,0.34,0.245128791475774,44.2917073516045,9515.40866249213,1.0601588774446,0.394969011023614,"na","0.10","1000","0.5","0.34",7
"88",-3081.14435127621,0,0.32,0.237251646049395,56.5315535789612,9515.40866249213,1.0601588774446,0.394969011023614,"na","0.10","1000","0.5","0.32",7
"89",-3002.15178050618,0,0.3,0.230613057619448,71.5391236111201,9515.40866249213,1.0601588774446,0.394969011023614,"na","0.10","1000","0.5","0.3",7
"90",-2939.11578605352,0,0.28,0.223782711730635,90.8080550963804,9515.40866249213,1.0601588774446,0.394969011023614,"na","0.10","1000","0.5","0.28",7
"91",-2889.44141273959,0,0.26,0.217933318172291,114.406960500718,9515.40866249213,1.0601588774446,0.394969011023614,"na","0.10","1000","0.5","0.26",7
"92",-2850.86008802212,0,0.24,0.212513406419478,143.660573448864,9515.40866249213,1.0601588774446,0.394969011023614,"na","0.10","1000","0.5","0.24",7
"93",-2821.37189763354,0,0.22,0.207662284710265,179.399446666682,9515.40866249213,1.0601588774446,0.394969011023614,"na","0.10","1000","0.5","0.22",7
"94",-2799.23061163949,0,0.2,0.202860867467576,224.488619324253,9515.40866249213,1.0601588774446,0.394969011023614,"na","0.10","1000","0.5","0.2",7
"95",-2782.8631885932,0,0.18,0.198295097959508,280.674870944172,9515.40866249213,1.0601588774446,0.394969011023614,"na","0.10","1000","0.5","0.18",7
"96",-2770.90101894115,0,0.16,0.193844195707901,351.433911915574,9515.40866249213,1.0601588774446,0.394969011023614,"na","0.10","1000","0.5","0.16",7
"97",-2762.3164288035,0,0.14,0.189555900873519,440.288299957414,9515.40866249213,1.0601588774446,0.394969011023614,"na","0.10","1000","0.5","0.14",7
"98",-2756.64820962228,0,0.12,0.1856699387363,549.302864492353,9515.40866249213,1.0601588774446,0.394969011023614,"na","0.10","1000","0.5","0.12",7
"99",-2754.04952969551,0,0.1,0.182524682937753,675.908556837482,9515.40866249213,1.0601588774446,0.394969011023614,"na","0.10","1000","0.5","0.1",7
"100",-2754.97017588048,0,0.08,0.180167618605636,816.985894489224,9515.40866249213,1.0601588774446,0.394969011023614,"na","0.10","1000","0.5","0.08",7
"101",-2759.72137726872,0,0.06,0.178489411541562,971.246678703649,9515.40866249213,1.0601588774446,0.394969011023614,"na","0.10","1000","0.5","0.06",7
"102",-2768.26060369518,0,0.04,0.176553853224705,1164.15358403289,9515.40866249213,1.0601588774446,0.394969011023614,"na","0.10","1000","0.5","0.04",7
"103",-2780.08552673713,0,0.02,0.174164928099419,1412.14913107043,9515.40866249213,1.0601588774446,0.394969011023614,"na","0.10","1000","0.5","0.02",7
"104",-2794.15039628442,0,0,0.170213448263943,1795.11171326182,9515.40866249213,1.0601588774446,0.394969011023614,"na","0.10","1000","0.5","0.0",7
"105",-5288.21576969497,0,0.5,0.36650169753975,5.2000620719085,9830.98475169719,1.0025613700971,0.00448029305909614,"na","0.10","1000","0.5","0.5",6
"106",-4871.57034455734,0,0.48,0.3422616333427,7.02733936509144,9830.98475169719,1.0025613700971,0.00448029305909614,"na","0.10","1000","0.5","0.48",6
"107",-4514.41917209952,0,0.46,0.32221836399055,9.38183339561714,9830.98475169719,1.0025613700971,0.00448029305909614,"na","0.10","1000","0.5","0.46",6
"108",-4209.42590668799,0,0.44,0.305678042009632,12.3551080631799,9830.98475169719,1.0025613700971,0.00448029305909614,"na","0.10","1000","0.5","0.44",6
"109",-3950.12770863904,0,0.42,0.290892044792333,16.2172851620524,9830.98475169719,1.0025613700971,0.00448029305909614,"na","0.10","1000","0.5","0.42",6
"110",-3730.79725564335,0,0.4,0.278619646369911,21.0293562497837,9830.98475169719,1.0025613700971,0.00448029305909614,"na","0.10","1000","0.5","0.4",6
"111",-3546.34173059196,0,0.38,0.268220140689679,27.0335154730115,9830.98475169719,1.0025613700971,0.00448029305909614,"na","0.10","1000","0.5","0.38",6
"112",-3392.2234063304,0,0.36,0.258495363517539,34.6296806462901,9830.98475169719,1.0025613700971,0.00448029305909614,"na","0.10","1000","0.5","0.36",6
"113",-3264.37418766989,0,0.34,0.250047512419049,44.0641428804739,9830.98475169719,1.0025613700971,0.00448029305909614,"na","0.10","1000","0.5","0.34",6
"114",-3159.15995904933,0,0.32,0.24242658970448,55.8144377253382,9830.98475169719,1.0025613700971,0.00448029305909614,"na","0.10","1000","0.5","0.32",6
"115",-3073.32943051045,0,0.3,0.235486054195081,70.4163009553415,9830.98475169719,1.0025613700971,0.00448029305909614,"na","0.10","1000","0.5","0.3",6
"116",-3003.97943281719,0,0.28,0.229305726004392,88.2556821637433,9830.98475169719,1.0025613700971,0.00448029305909614,"na","0.10","1000","0.5","0.28",6
