"","ss","s","level","h","sd","mean","Type"
"107","100","Moderately Del.","1% Lethal","0.5",0.00825678374163502,0.260321071640991,"Expected"
"108","100","Moderately Del.","1% Lethal","0.5",0.00707239308904299,0.261064398288317,"Inferred"
"109","100","Strongly Del.","1% Lethal","0.5",0.0120129953144309,0.191249527377548,"Expected"
"110","100","Strongly Del.","1% Lethal","0.5",0.0108745517510987,0.191557579148584,"Inferred"
"111","1000","Neutral","1% Lethal","0.5",0.00362507363528731,0.234843474963571,"Expected"
"112","1000","Neutral","1% Lethal","0.5",0.00492502792043531,0.234695323856259,"Inferred"
"113","1000","Nearly Neutral","1% Lethal","0.5",0.0013781487137627,0.125132217220871,"Expected"
"114","1000","Nearly Neutral","1% Lethal","0.5",0.0017748407266729,0.124945021179368,"Inferred"
"115","1000","Slightly Del.","1% Lethal","0.5",0.00353751592861352,0.189904679760245,"Expected"
"116","1000","Slightly Del.","1% Lethal","0.5",0.00425334610999825,0.189695816507162,"Inferred"
"117","1000","Moderately Del.","1% Lethal","0.5",0.00491621572229003,0.262651077104496,"Expected"
"118","1000","Moderately Del.","1% Lethal","0.5",0.00604593621307951,0.263890170858419,"Inferred"
"119","1000","Strongly Del.","1% Lethal","0.5",0.00663379575068165,0.187468550950816,"Expected"
"120","1000","Strongly Del.","1% Lethal","0.5",0.00880460469300354,0.186773667598792,"Inferred"
"121","10","Neutral","5% Lethal","0",0.00872325650825848,0.221786440743669,"Expected"
"122","10","Neutral","5% Lethal","0",0.00901936349548232,0.220693536893402,"Inferred"
"123","10","Nearly Neutral","5% Lethal","0",0.00641380069931653,0.118928570147795,"Expected"
"124","10","Nearly Neutral","5% Lethal","0",0.00623647190740548,0.119448241032137,"Inferred"
"125","10","Slightly Del.","5% Lethal","0",0.0147440575866611,0.181286030501328,"Expected"
"126","10","Slightly Del.","5% Lethal","0",0.0148231481318499,0.183091752392167,"Inferred"
"127","10","Moderately Del.","5% Lethal","0",0.0187909607846851,0.251220018749521,"Expected"
"128","10","Moderately Del.","5% Lethal","0",0.0213244775624613,0.260203019889123,"Inferred"
"129","10","Strongly Del.","5% Lethal","0",0.0318951298993919,0.226778939857687,"Expected"
"130","10","Strongly Del.","5% Lethal","0",0.0336772182189372,0.216563449793171,"Inferred"
"131","100","Neutral","5% Lethal","0",0.00602307837927316,0.224870822152573,"Expected"
"132","100","Neutral","5% Lethal","0",0.00533532497098453,0.220113922966066,"Inferred"
"133","100","Nearly Neutral","5% Lethal","0",0.00252379524805019,0.119973261736334,"Expected"
"134","100","Nearly Neutral","5% Lethal","0",0.00279973173835218,0.123715701921322,"Inferred"
"135","100","Slightly Del.","5% Lethal","0",0.00644402748779753,0.182234373853695,"Expected"
"136","100","Slightly Del.","5% Lethal","0",0.00710981626165388,0.191502274046789,"Inferred"
"137","100","Moderately Del.","5% Lethal","0",0.00880812326360767,0.252099948957669,"Expected"
"138","100","Moderately Del.","5% Lethal","0",0.00995685264143067,0.271041440903242,"Inferred"
"139","100","Strongly Del.","5% Lethal","0",0.012134907619097,0.22082159329973,"Expected"
"140","100","Strongly Del.","5% Lethal","0",0.0148332543920375,0.193626660162582,"Inferred"
"141","1000","Neutral","5% Lethal","0",0.00362411327895431,0.225199113392663,"Expected"
"142","1000","Neutral","5% Lethal","0",0.00383442725806499,0.216514676120776,"Inferred"
"143","1000","Nearly Neutral","5% Lethal","0",0.00141523055599878,0.120218153128516,"Expected"
"144","1000","Nearly Neutral","5% Lethal","0",0.00130150953766133,0.126101313792827,"Inferred"
"145","1000","Slightly Del.","5% Lethal","0",0.0033947497789171,0.182547493694539,"Expected"
"146","1000","Slightly Del.","5% Lethal","0",0.00370370250421398,0.197377118173514,"Inferred"
"147","1000","Moderately Del.","5% Lethal","0",0.00454417890367369,0.252419017514463,"Expected"
"148","1000","Moderately Del.","5% Lethal","0",0.00533023611392761,0.279011099127376,"Inferred"
"149","1000","Strongly Del.","5% Lethal","0",0.006876967347297,0.219616222269819,"Expected"
"150","1000","Strongly Del.","5% Lethal","0",0.00693373717667805,0.180995792785507,"Inferred"
"151","10","Neutral","5% Lethal","0.5",0.00915605067464305,0.223961989149401,"Expected"
"152","10","Neutral","5% Lethal","0.5",0.00761997511152409,0.224343558049535,"Inferred"
"153","10","Nearly Neutral","5% Lethal","0.5",0.0069495253593112,0.117436602889778,"Expected"
"154","10","Nearly Neutral","5% Lethal","0.5",0.00569278447356284,0.116439234188247,"Inferred"
"155","10","Slightly Del.","5% Lethal","0.5",0.0157453288355725,0.177847636299702,"Expected"
"156","10","Slightly Del.","5% Lethal","0.5",0.0130006735062121,0.176059498901316,"Inferred"
"157","10","Moderately Del.","5% Lethal","0.5",0.0209232371179496,0.246599290883434,"Expected"
"158","10","Moderately Del.","5% Lethal","0.5",0.0193842149693385,0.250257726698146,"Inferred"
"159","10","Strongly Del.","5% Lethal","0.5",0.0347102631606212,0.234154480777685,"Expected"
"160","10","Strongly Del.","5% Lethal","0.5",0.0308554245932472,0.232899982162756,"Inferred"
"161","100","Neutral","5% Lethal","0.5",0.00484690222234991,0.226377758740877,"Expected"
"162","100","Neutral","5% Lethal","0.5",0.00397133539964678,0.226266509498732,"Inferred"
"163","100","Nearly Neutral","5% Lethal","0.5",0.00237366889922895,0.119334435940461,"Expected"
"164","100","Nearly Neutral","5% Lethal","0.5",0.00254470337789015,0.118564729349823,"Inferred"
"165","100","Slightly Del.","5% Lethal","0.5",0.0057955619407667,0.180558442624104,"Expected"
"166","100","Slightly Del.","5% Lethal","0.5",0.00585261955181952,0.17949166453157,"Inferred"
"167","100","Moderately Del.","5% Lethal","0.5",0.00792317631773058,0.249803048544385,"Expected"
"168","100","Moderately Del.","5% Lethal","0.5",0.00856107302988907,0.254548698775472,"Inferred"
"169","100","Strongly Del.","5% Lethal","0.5",0.0115276217663731,0.223926314150172,"Expected"
"170","100","Strongly Del.","5% Lethal","0.5",0.013647251857585,0.221128397844404,"Inferred"
"171","1000","Neutral","5% Lethal","0.5",0.00347860601365953,0.225354849712518,"Expected"
"172","1000","Neutral","5% Lethal","0.5",0.00372726204098556,0.227741044418142,"Inferred"
"173","1000","Nearly Neutral","5% Lethal","0.5",0.00132246593744906,0.120076370060432,"Expected"
"174","1000","Nearly Neutral","5% Lethal","0.5",0.00183580652795629,0.118109272748114,"Inferred"
"175","1000","Slightly Del.","5% Lethal","0.5",0.00339458599210388,0.182231763406296,"Expected"
"176","1000","Slightly Del.","5% Lethal","0.5",0.00434174594020922,0.178191729625179,"Inferred"
"177","1000","Moderately Del.","5% Lethal","0.5",0.00471758074361164,0.252038912373001,"Expected"
"178","1000","Moderately Del.","5% Lethal","0.5",0.0065524291661409,0.252490488248723,"Inferred"
"179","1000","Strongly Del.","5% Lethal","0.5",0.00636576359913896,0.220298104447753,"Expected"
"180","1000","Strongly Del.","5% Lethal","0.5",0.00979918030559266,0.223467464959842,"Inferred"
"181","10","Neutral","10% Lethal","0",0.00826413774466593,0.210113470178212,"Expected"
"182","10","Neutral","10% Lethal","0",0.00846937519684313,0.209781718628039,"Inferred"
"183","10","Nearly Neutral","10% Lethal","0",0.00607623224145777,0.112669171718963,"Expected"
"184","10","Nearly Neutral","10% Lethal","0",0.00663057256772083,0.113612528190074,"Inferred"
"185","10","Slightly Del.","10% Lethal","0",0.0139680545557842,0.171744660474942,"Expected"
"186","10","Slightly Del.","10% Lethal","0",0.0154996501751408,0.17454498394476,"Inferred"
"187","10","Moderately Del.","10% Lethal","0",0.017801962848649,0.237997912499547,"Expected"
"188","10","Moderately Del.","10% Lethal","0",0.0238182204183961,0.252674508699189,"Inferred"
"189","10","Strongly Del.","10% Lethal","0",0.0302164388520555,0.267474785128336,"Expected"
"190","10","Strongly Del.","10% Lethal","0",0.0378970787366676,0.249386260537938,"Inferred"
"191","100","Neutral","10% Lethal","0",0.00570607425404826,0.21303551572349,"Expected"
"192","100","Neutral","10% Lethal","0",0.00490210243427371,0.205841280424787,"Inferred"
"193","100","Nearly Neutral","10% Lethal","0",0.00239096391920544,0.113658879539685,"Expected"
"194","100","Nearly Neutral","10% Lethal","0",0.00263137093932249,0.11997031501541,"Inferred"
"195","100","Slightly Del.","10% Lethal","0",0.0061048681463345,0.17264309101929,"Expected"
"196","100","Slightly Del.","10% Lethal","0",0.00679243082482035,0.188353347758369,"Inferred"
"197","100","Moderately Del.","10% Lethal","0",0.00834453782868095,0.238831530591476,"Expected"
"198","100","Moderately Del.","10% Lethal","0",0.0100912285753153,0.272781173501403,"Inferred"
"199","100","Strongly Del.","10% Lethal","0",0.0114962282707235,0.26183098312606,"Expected"
"200","100","Strongly Del.","10% Lethal","0",0.0150581933335,0.213053883300031,"Inferred"
"201","1000","Neutral","10% Lethal","0",0.00343337047479882,0.213346528477259,"Expected"
"202","1000","Neutral","10% Lethal","0",0.00424225159084386,0.198152470749162,"Inferred"
"203","1000","Nearly Neutral","10% Lethal","0",0.001340744737262,0.113890881911226,"Expected"
"204","1000","Nearly Neutral","10% Lethal","0",0.00158918215778416,0.124413381611521,"Inferred"
"205","1000","Slightly Del.","10% Lethal","0",0.00321607873792147,0.172939730868511,"Expected"
"206","1000","Slightly Del.","10% Lethal","0",0.00466748434288543,0.200259837959469,"Inferred"
"207","1000","Moderately Del.","10% Lethal","0",0.00430501159295401,0.239133806066333,"Expected"
"208","1000","Moderately Del.","10% Lethal","0",0.00667678809199044,0.289851237543557,"Inferred"
"209","1000","Strongly Del.","10% Lethal","0",0.00651502169743926,0.260689052676671,"Expected"
"210","1000","Strongly Del.","10% Lethal","0",0.00927958331853349,0.187323072136291,"Inferred"
"211","10","Neutral","10% Lethal","0.5",0.00867415327071446,0.212174516036275,"Expected"
"212","10","Neutral","10% Lethal","0.5",0.00850109536680554,0.212702930137071,"Inferred"
"213","10","Nearly Neutral","10% Lethal","0.5",0.00658376086671588,0.111255729053474,"Expected"
