,X,Likelihood,pneu,plet,alpha,beta,Nanc,nu,T,scale,level,ss,h_co,dist,rep
106,106,-398.9060805,0,0.118524369,0.195538679,479.6642308,9754.115563,1.004287875,0.004013817,na,0.1,100,0.5,gammalet,4
107,107,-400.6016458,0.053282837,0,0.215916906,943.7899591,9754.115563,1.004287875,0.004013817,na,0.1,100,0.5,neugamma,4
108,108,-399.923496,na,na,0.186987097,1183.231782,9754.115563,1.004287875,0.004013817,na,0.1,100,0.5,gamma,4
109,109,-387.2820555,0.024507165,0.302041786,0.221071607,103.7020051,9716.709939,1.076505805,0.045895133,na,0.1,100,0.5,neugammalet,3
110,110,-385.4994438,0,0.243156258,0.194886246,205.6785584,9716.709939,1.076505805,0.045895133,na,0.1,100,0.5,gammalet,3
111,111,-395.1710589,0.047365789,0,0.195963387,1442.424432,9716.709939,1.076505805,0.045895133,na,0.1,100,0.5,neugamma,3
112,112,-392.8774484,na,na,0.171646011,1846.237605,9716.709939,1.076505805,0.045895133,na,0.1,100,0.5,gamma,3
113,113,-388.5802943,0.017838576,0.042538403,0.19287355,964.582105,9770.741633,1.011537725,0.027613516,na,0.1,100,0.5,neugammalet,2
114,114,-390.521238,0,0.212842999,0.198612049,251.2454761,9770.741633,1.011537725,0.027613516,na,0.1,100,0.5,gammalet,2
115,115,-389.3068777,0.021792615,0,0.19223127,1284.361831,9770.741633,1.011537725,0.027613516,na,0.1,100,0.5,neugamma,2
116,116,-388.5895865,na,na,0.182226709,1393.784484,9770.741633,1.011537725,0.027613516,na,0.1,100,0.5,gamma,2
117,117,-388.6651296,0.108162608,0.058072902,0.244294162,679.8328789,9506.178297,1.049381708,0.462341633,na,0.1,100,0.5,neugammalet,1
118,118,-390.8675306,0,0.149945216,0.184750283,501.5168598,9506.178297,1.049381708,0.462341633,na,0.1,100,0.5,gammalet,1
119,119,-389.1834196,0.078463208,0,0.217529654,1164.871484,9506.178297,1.049381708,0.462341633,na,0.1,100,0.5,neugamma,1
120,120,-389.3198526,na,na,0.174247272,1700.669704,9506.178297,1.049381708,0.462341633,na,0.1,100,0.5,gamma,1
121,121,-394.7651012,0.136999372,0.015773111,0.320374858,345.2380506,9845.886976,2.429886399,0.000139386,na,0.1,100,0,neugammalet,10
122,122,-398.754471,0,0.001278832,0.204907766,713.6752329,9845.886976,2.429886399,0.000139386,na,0.1,100,0,gammalet,10
123,123,-394.7497847,0.135899173,0,0.31731956,378.094978,9845.886976,2.429886399,0.000139386,na,0.1,100,0,neugamma,10
124,124,-398.7078494,na,na,0.2050779,713.1661508,9845.886976,2.429886399,0.000139386,na,0.1,100,0,gamma,10
125,125,-390.8264581,0.170569832,0.00105812,0.359347844,343.760102,9945.832446,7.011918789,0.000255882,na,0.1,100,0,neugammalet,9
126,126,-389.0232509,0,0.013805223,0.200537507,751.4091851,9945.832446,7.011918789,0.000255882,na,0.1,100,0,gammalet,9
127,127,-387.6085412,0.086036486,0,0.257549692,561.235019,9945.832446,7.011918789,0.000255882,na,0.1,100,0,neugamma,9
128,128,-388.5939275,na,na,0.200679968,806.1975148,9945.832446,7.011918789,0.000255882,na,0.1,100,0,gamma,9
129,129,-395.3202812,0.025272692,0.00475211,0.194937094,1046.222742,9415.693448,1.072988524,0.544474357,na,0.1,100,0,neugammalet,8
130,130,-397.9115382,0,0.03843002,0.18448111,912.4230293,9415.693448,1.072988524,0.544474357,na,0.1,100,0,gammalet,8
131,131,-392.5734876,0.124875852,0,0.26638451,649.9277461,9415.693448,1.072988524,0.544474357,na,0.1,100,0,neugamma,8
132,132,-395.8863724,na,na,0.182393877,1196.584802,9415.693448,1.072988524,0.544474357,na,0.1,100,0,gamma,8
133,133,-388.1847882,0.093645179,0.006911591,0.261841786,588.826935,9886.641476,9.657645895,0.000441137,na,0.1,100,0,neugammalet,7
134,134,-389.4042813,0,0.011405823,0.198443308,866.6629242,9886.641476,9.657645895,0.000441137,na,0.1,100,0,gammalet,7
135,135,-388.3557373,0.052026871,0,0.229162951,742.2681932,9886.641476,9.657645895,0.000441137,na,0.1,100,0,neugamma,7
136,136,-389.2182107,na,na,0.198486461,914.8031983,9886.641476,9.657645895,0.000441137,na,0.1,100,0,gamma,7
