"","X","Likelihood","pneu","plet","alpha","beta","Nanc","nu","T","scale","level","ss","h_co","dist","rep"
"114",114,-384.302816376316,"0","0.0885092018531331",0.182986189681154,764.247787330408,9685.99575051878,1.03988753714831,0.102692815951487,"na",0.1,100,0.5,"gammalet",2
"115",115,-385.131128880674,"0.0823525084371966","0",0.226142983391424,977.666781170357,9685.99575051878,1.03988753714831,0.102692815951487,"na",0.1,100,0.5,"neugamma",2
"116",116,-383.774517851014,"na","na",0.17916822201089,1434.9411119881,9685.99575051878,1.03988753714831,0.102692815951487,"na",0.1,100,0.5,"gamma",2
"117",117,-389.334400346664,"0.051370548452362","0.00111650779468114",0.204993859607521,1218.51790517729,9755.52353223371,1.08697704627235,0.00566820113881422,"na",0.1,100,0.5,"neugammalet",1
"118",118,-386.190058115233,"0","0.139010059849232",0.188145166268012,507.087902535201,9755.52353223371,1.08697704627235,0.00566820113881422,"na",0.1,100,0.5,"gammalet",1
"119",119,-388.737662433799,"0.0306013358900622","0",0.191933130577361,1400.84985263036,9755.52353223371,1.08697704627235,0.00566820113881422,"na",0.1,100,0.5,"neugamma",1
"120",120,-387.778925095731,"na","na",0.178523873533723,1537.6668249589,9755.52353223371,1.08697704627235,0.00566820113881422,"na",0.1,100,0.5,"gamma",1
"121",121,-388.0351495925,"0.119494643803479","0.00241924631514198",0.285122107349286,495.733268078397,9667.83307591419,1.03913676698722,0.193158070853803,"na",0.1,100,0,"neugammalet",10
"122",122,-391.244275811127,"0","0.0131558300653425",0.197855022911777,812.659595267108,9667.83307591419,1.03913676698722,0.193158070853803,"na",0.1,100,0,"gammalet",10
"123",123,-387.942939175747,"0.122917684712331","0",0.289147858053322,490.431490850246,9667.83307591419,1.03913676698722,0.193158070853803,"na",0.1,100,0,"neugamma",10
"124",124,-390.613370754344,"na","na",0.197192421205203,877.835367364902,9667.83307591419,1.03913676698722,0.193158070853803,"na",0.1,100,0,"gamma",10
"125",125,-388.682649210678,"0.0536525664448684","0.00793682023259745",0.241838952590719,528.520525410943,9874.34487545118,9.90372122807698,0.000407607116320021,"na",0.1,100,0,"neugammalet",9
"126",126,-388.885093919505,"0","0.029097192578841",0.211014428950315,551.406688502455,9874.34487545118,9.90372122807698,0.000407607116320021,"na",0.1,100,0,"gammalet",9
"127",127,-388.72840134008,"0.0578079019964288","0",0.245169605135839,535.338787726129,9874.34487545118,9.90372122807698,0.000407607116320021,"na",0.1,100,0,"neugamma",9
"128",128,-388.759271724455,"na","na",0.208716890687816,672.197164140314,9874.34487545118,9.90372122807698,0.000407607116320021,"na",0.1,100,0,"gamma",9
"129",129,-400.26353301105,"0.02856678474029","0.00874609472418138",0.220932916019087,641.997288587032,9819.32460628064,1.03508375687482,0.0226369316461787,"na",0.1,100,0,"neugammalet",8
"130",130,-401.005092887155,"0","0.0105721216522936",0.203914068623365,722.636085850051,9819.32460628064,1.03508375687482,0.0226369316461787,"na",0.1,100,0,"gammalet",8
"131",131,-399.435983394073,"0.0895238297674766","0",0.265423622523848,517.353856990062,9819.32460628064,1.03508375687482,0.0226369316461787,"na",0.1,100,0,"neugamma",8
"132",132,-400.64121092811,"na","na",0.203458770819767,766.830519102828,9819.32460628064,1.03508375687482,0.0226369316461787,"na",0.1,100,0,"gamma",8
"133",133,-392.506019916585,"0.128490478608589","0.00100008585457789",0.312552853218925,361.492306690352,9871.12457713743,0.827763932448671,0.000102428273359402,"na",0.1,100,0,"neugammalet",7
"134",134,-391.040219989357,"0","0.0203402354819521",0.21149595189827,559.486574762039,9871.12457713743,0.827763932448671,0.000102428273359402,"na",0.1,100,0,"gammalet",7
"135",135,-390.316910381505,"0.0596707755718796","0",0.247817180740511,505.264874396557,9871.12457713743,0.827763932448671,0.000102428273359402,"na",0.1,100,0,"neugamma",7
"136",136,-390.481033843872,"na","na",0.209908118937928,636.802477235793,9871.12457713743,0.827763932448671,0.000102428273359402,"na",0.1,100,0,"gamma",7
"137",137,-410.148417736776,"0.0308639547351775","0.0251750542901151",0.223519583979409,584.174604377536,9737.3063252645,1.02347018677445,0.269925843795694,"na",0.1,100,0,"neugammalet",6
"138",138,-413.88638378746,"0","0.0593031305022015",0.209085466486134,517.502146109471,9737.3063252645,1.02347018677445,0.269925843795694,"na",0.1,100,0,"gammalet",6
"139",139,-405.653273066398,"0.115739517273479","0",0.297070143677066,427.043368836093,9737.3063252645,1.02347018677445,0.269925843795694,"na",0.1,100,0,"neugamma",6
"140",140,-410.229823286918,"na","na",0.205427659429082,748.589553632257,9737.3063252645,1.02347018677445,0.269925843795694,"na",0.1,100,0,"gamma",6
"141",141,-382.518538272839,"0.0932622713149275","0.020482042145166",0.266691348544591,448.807203978709,9807.06487207457,1.13260394320003,0.00917245196522357,"na",0.1,100,0,"neugammalet",5
"142",142,-381.972536025846,"0","0.032769678216532",0.20441354535538,598.113166345676,9807.06487207457,1.13260394320003,0.00917245196522357,"na",0.1,100,0,"gammalet",5
"143",143,-382.305156547127,"0.0613055648030096","0",0.238189174566045,601.070012449937,9807.06487207457,1.13260394320003,0.00917245196522357,"na",0.1,100,0,"neugamma",5
"144",144,-382.051424683121,"na","na",0.202017113684821,750.349366225901,9807.06487207457,1.13260394320003,0.00917245196522357,"na",0.1,100,0,"gamma",5
"145",145,-568.803123625462,"0.252910482607507","0.401261520917282",0.989926652092603,9.97370905556852,9773.23820210201,1.05284442220734,0.0334539221503818,"na",0.1,100,0,"neugammalet",4
"146",146,-408.317285288101,"0","0.0177711673603223",0.201832162534214,696.161854339582,9773.23820210201,1.05284442220734,0.0334539221503818,"na",0.1,100,0,"gammalet",4
"147",147,-401.98813505185,"0.116812424200735","0",0.288936776182219,450.249055190524,9773.23820210201,1.05284442220734,0.0334539221503818,"na",0.1,100,0,"neugamma",4
"148",148,-407.251108933458,"na","na",0.201624380764425,761.526455691098,9773.23820210201,1.05284442220734,0.0334539221503818,"na",0.1,100,0,"gamma",4
"149",149,-389.455655260925,"0.0669916303688333","0.041642280166076",0.234834182256479,575.508718810168,9764.92436822887,1.04209234489289,0.0611558819042949,"na",0.1,100,0,"neugammalet",3
"150",150,-401.813464003278,"0","0.150288775903301",0.202094812233976,340.249915512038,9764.92436822887,1.04209234489289,0.0611558819042949,"na",0.1,100,0,"gammalet",3
"151",151,-386.541072135481,"0.110862084929903","0",0.26668527885114,614.196519788372,9764.92436822887,1.04209234489289,0.0611558819042949,"na",0.1,100,0,"neugamma",3
"152",152,-389.768711335767,"na","na",0.191177079241831,1012.80386004807,9764.92436822887,1.04209234489289,0.0611558819042949,"na",0.1,100,0,"gamma",3
"153",153,-397.04158953735,"0.0407903276742132","0.00130263133529846",0.223041894205274,707.422539726796,9799.38997157695,1.03400002977229,0.145249604061608,"na",0.1,100,0,"neugammalet",2
"154",154,-397.585833746347,"0","0.0469557265500444",0.204135934760623,591.423891259556,9799.38997157695,1.03400002977229,0.145249604061608,"na",0.1,100,0,"gammalet",2
"155",155,-397.441709152392,"0.06364372824721","0",0.23974115640546,628.638768650505,9799.38997157695,1.03400002977229,0.145249604061608,"na",0.1,100,0,"neugamma",2
"156",156,-396.76627565563,"na","na",0.199842430616197,837.498457283534,9799.38997157695,1.03400002977229,0.145249604061608,"na",0.1,100,0,"gamma",2
"157",157,-417.115951453746,"0.00104099023385129","0.145581137371669",0.206153077172472,329.727577339474,9758.95426002662,1.0214527130556,0.239638660367127,"na",0.1,100,0,"neugammalet",1
"158",158,-408.072103426114,"0","0.0492388730263515",0.199022963465812,661.42018388283,9758.95426002662,1.0214527130556,0.239638660367127,"na",0.1,100,0,"gammalet",1
"159",159,-401.447918801696,"0.139481116838006","0",0.308975519506373,453.473180363468,9758.95426002662,1.0214527130556,0.239638660367127,"na",0.1,100,0,"neugamma",1
"160",160,-405.079007378724,"na","na",0.196579222531487,909.928959614952,9758.95426002662,1.0214527130556,0.239638660367127,"na",0.1,100,0,"gamma",1
"161",161,-48.3719079266175,"0.0808144699598744","0.00341722477158644",0.230592704197778,951.100139771071,8877.8150607633,1.082263080604,1.7298674353,"na",0.1,10,0.5,"neugammalet",10
